Identifier,SMILES,Synthesis Procedure,Optical Measurements,Absorption Wavelength (nm),Emission Wavelength (nm),Photoluminescence Quantum Yield,Photoluminescence Lifetime (ns),Spectral Gain Factor (cm^2 s),Emission Gain Cross Section (cm^2)
A007B026C032,FC(F)(F)c1cc(-c2cccnc2-c2ccc3c(c2)c2cc(-c4ccccc4)ccc2n3-c2ccccc2)ncc1-c1cccnc1-c1ccc2c(c1)c1cc(-c3ccccc3)ccc1n2-c1ccccc1,First-Generation Conditions,Failed Synthesis,,,,,,
A014B024C007,CN(C)c1ccc(-c2ccc3oc(-c4ccc5c(c4)[nH]c4cc(-c6cc7cc(-c8ccc(N(C)C)cc8)ccc7o6)ccc45)cc3c2)cc1,First-Generation Conditions,Failed Synthesis,,,,,,
A017B024C023,Cn1ccc2cc(-c3ccc4oc(-c5ccc(-c6cc7cc(-c8ccc9c(ccn9C)c8)ccc7o6)c(N)c5)cc4c3)ccc21,First-Generation Conditions,Instrument Failure,,,,,,
A014B002C013,CN(C)c1ccc(-c2ccsc2-c2cnc(-c3sccc3-c3ccc(N(C)C)cc3)c3nsnc23)cc1,First-Generation Conditions,Failed Synthesis,,,,,,
A014B006C013,CN(C)c1ccc(-c2ccoc2-c2cnc(-c3occc3-c3ccc(N(C)C)cc3)c3nsnc23)cc1,First-Generation Conditions,Failed Synthesis,,,,,,
A017B024C022,Cn1ccc2cc(-c3ccc4oc(-c5ccc(-c6cc7cc(-c8ccc9c(ccn9C)c8)ccc7o6)c([N+](=O)[O-])c5)cc4c3)ccc21,First-Generation Conditions,Failed Synthesis,,,,,,
A011B016C036,Clc1cc(-c2cccc(-c3cc(Cl)cc(-c4ccc5c6ccccc6n(-c6ccccc6)c5c4)c3)c2)cc(-c2ccc3c4ccccc4n(-c4ccccc4)c3c2)c1,First-Generation Conditions,Full Characterization,306.4760666382026,405.6479755870943,0.3615704043960059,0.8900539345975268,,8.49554370937302e-17
A011B016C025,Clc1cc(-c2ccc3c4ccccc4n(-c4ccccc4)c3c2)cc(-c2ccc(-c3cc(Cl)cc(-c4ccc5c6ccccc6n(-c6ccccc6)c5c4)c3)s2)c1,First-Generation Conditions,Failed Synthesis,,,,,,
A032B016C025,CC(C)(C)OC(=O)n1ccc2cc(-c3cc(Cl)cc(-c4ccc(-c5cc(Cl)cc(-c6ccc7c(ccn7C(=O)OC(C)(C)C)c6)c5)s4)c3)ccc21,First-Generation Conditions,Poor Yield,,,,,,
A002B016C025,Clc1cc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc(-c2ccc(-c3cc(Cl)cc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)c3)s2)c1,First-Generation Conditions,Poor Yield,,,,,,
