molecule_id,created_on,updated_on,hid,smiles,smiles_wo_block,smiles_w_sub,commercially_available,CAS,molecule_type_id
87e21db2-6813-45f9-a274-5d279d606036,2022-01-18T13:03:29.758429,2022-01-18T13:03:29.758429,A023,COc1ccc2c(c1)N(c1ccc(B3OC(C)(C)C(C)(C)O3)cc1)c1ccccc1S2,COc1cc(N(c2c(S3)cccc2)c4ccc(C)cc4)c3cc1,COc1cc(N(c2c(S3)cccc2)c4ccc(/C=C(F)/F)cc4)c3cc1,FALSE,,2d012b56-8260-4f9e-8ede-2c8546baf21c
bada33ae-83ee-4523-85f7-411ddf49f034,2022-01-18T13:03:38.051879,2022-01-18T13:03:38.051879,A024,CC1(C)c2ccccc2N(c2ccc(B3OC(C)(C)C(C)(C)O3)cc2)c2ccccc21,CC1(c2c(N(c3c1cccc3)c4ccc(C)cc4)cccc2)C,CC1(c2c(N(c3c1cccc3)c4ccc(/C=C(F)\F)cc4)cccc2)C,FALSE,,2d012b56-8260-4f9e-8ede-2c8546baf21c
bf36f536-57a7-4eb9-bb1b-b15bd383c9b9,2022-01-18T13:03:46.369639,2022-01-18T13:03:46.369639,A025,CC1(C)OB(c2ccc(-n3c4ccccc4c(=O)c4ccccc43)cc2)OC1(C)C,O=c1c(cccc2)c2n(c3ccc(C)cc3)c4c1cccc4,O=c1c(cccc2)c2n(c3ccc(/C=C(F)\F)cc3)c4c1cccc4,FALSE,,2d012b56-8260-4f9e-8ede-2c8546baf21c
8b25a7f2-4195-4ac9-889a-fb4638832aa9,2022-01-18T13:03:54.742646,2022-01-18T13:03:54.742646,A026,COc1ccc2c3ccc(OC)cc3n(-c3ccc(B4OC(C)(C)C(C)(C)O4)cc3)c2c1,COc(cc1)cc2c1c(ccc(OC)c3)c3n2c4ccc(C)cc4,COc(cc1)cc2c1c(ccc(OC)c3)c3n2c4ccc(/C=C(F)/F)cc4,FALSE,,2d012b56-8260-4f9e-8ede-2c8546baf21c
faa4de17-7959-4bc4-a071-de1fda1b8a05,2022-01-18T13:04:03.081827,2022-01-18T13:04:03.081827,A027,Cc1ccc2c(c1)c1cc(C)ccc1n2-c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,Cc1cc2c(cc(C)cc3)c3n(c4ccc(C)cc4)c2cc1,Cc1cc2c(cc(C)cc3)c3n(c4ccc(/C=C(F)/F)cc4)c2cc1,FALSE,,2d012b56-8260-4f9e-8ede-2c8546baf21c
05f134e5-b4fd-4085-a7a6-ca35b48d3d23,2022-01-18T13:04:11.557757,2022-01-18T13:04:11.557757,A028,CC1(C)OB(c2ccc(N3c4ccccc4CCc4ccccc43)cc2)OC1(C)C,Cc1ccc(N2c3c(CCc4c2cccc4)cccc3)cc1,F/C(F)=C\c1ccc(N2c3c(CCc4c2cccc4)cccc3)cc1,FALSE,,2d012b56-8260-4f9e-8ede-2c8546baf21c
450046d9-f5e4-4736-bada-4b2a61bbaf6f,2022-01-18T13:04:19.693433,2022-01-18T13:04:19.693433,A029,COc1ccc2c3ccccc3n(-c3ccc(B4OC(C)(C)C(C)(C)O4)cc3)c2c1,COc(cc1)cc2c1c(cccc3)c3n2c4ccc(C)cc4,COc(cc1)cc2c1c(cccc3)c3n2c4ccc(/C=C(F)/F)cc4,FALSE,,2d012b56-8260-4f9e-8ede-2c8546baf21c
e19da15b-43ce-48dc-a747-78fd2b8dffef,2022-01-18T13:04:28.206282,2022-01-18T13:04:28.206282,A030,COC(=O)c1ccccc1N(c1ccc(B2OC(C)(C)C(C)(C)O2)cc1)c1cccc(C(F)(F)F)c1,COC(c1c(N(c2cc(C(F)(F)F)ccc2)c3ccc(C)cc3)cccc1)=O,COC(c1c(N(c2cc(C(F)(F)F)ccc2)c3ccc(/C=C(F)/F)cc3)cccc1)=O,FALSE,,2d012b56-8260-4f9e-8ede-2c8546baf21c
3a2ff82c-249a-4d83-b9ea-2b682545d2ad,2022-01-18T13:04:36.423346,2022-01-18T13:04:36.423346,A031,CC1(C)OB(c2ccc(-n3ccnc3)cc2)OC1(C)C,Cc1ccc(n2cncc2)cc1,F/C(F)=C/c1ccc(n2cncc2)cc1,FALSE,,2d012b56-8260-4f9e-8ede-2c8546baf21c
aea51cbd-8991-4eea-816d-99f9c5525a21,2022-01-18T13:04:45.115779,2022-01-18T13:04:45.115779,A032,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(OC(n(cc1)c2c1cc(C)cc2)=O)C,CC(C)(OC(n(cc1)c2c1cc(/C=C(F)/F)cc2)=O)C,FALSE,,2d012b56-8260-4f9e-8ede-2c8546baf21c
